node,property,handlerTempName,required?,multivalued?
address,geogarea,,,
address,country,,,
address,countryCode,,,
address,firstdem,,,
address,secdem,,,
address,municipality,,,
address,street,,,
address,postalCode,,,
address,telephone,,,
address,fax,,,
address,email,,,
address,webpage,,,
maintenanceEvent,agent,,,
maintenanceEvent,eventType,,,
maintenanceEvent,agentType,,,
maintenanceEvent,source,,,
maintenanceEvent,date,,,
description,identifier,descriptionIdentifier,1,
description,languageCode,,1,
description,name,,1,
unit,identifier,objectIdentifier,1,
dateperiod,type,,,
dateperiod,startDate,,,
dateperiod,endDate,,,
documentsDescription,creationDate,,,1
documentsDescription,rules,,,
documentsDescription,accruals,,,
documentsDescription,acquisition,,,
documentsDescription,appraisal,,,
documentsDescription,archivalHistory,,,
documentsDescription,biographicalHistory,,,
documentsDescription,conditionsOfAccess,,,
documentsDescription,conditionsOfReproduction,,,
documentsDescription,extentAndMedium,,,
documentsDescription,locationOfCopies,,,1
documentsDescription,locationOfOriginals,,,1
documentsDescription,physicalCharacteristics,,,
documentsDescription,scopeAndContent,,,
documentsDescription,systemOfArrangement,,,
documentsDescription,creators,,,1
documentsDescription,subjects,,,1
documentsDescription,unitDates,,,1
documentsDescription,levelOfDescription,,,
historicalAgentDescription,source,,,1
historicalAgentDescription,typeOfEntity,,,
historicalAgentDescription,otherFormsOfName,,,1
historicalAgentDescription,datesOfExistence,,,
historicalAgentDescription,biographicalHistory,,,
historicalAgentDescription,place,,,1
historicalAgentDescription,function,,,
historicalAgentDescription,mandate,,,
historicalAgentDescription,structure,,,
historicalAgentDescription,generalContext,,,
historicalAgentDescription,occupation,,,
historicalAgentDescription,maintenanceEvent,,,1
repositoryDescription,typeOfEntity,,,
repositoryDescription,otherFormsOfName,,,1
repositoryDescription,parallelFormsOfName,,,
repositoryDescription,history,,,
repositoryDescription,generalContext,,,
repositoryDescription,mandates,,,
repositoryDescription,administrativeStructure,,,
repositoryDescription,records,,,
repositoryDescription,buildings,,,
repositoryDescription,holdings,,,
repositoryDescription,findingAids,,,
repositoryDescription,openingHours,,,
repositoryDescription,conditions,,,
repositoryDescription,accessibility,,,
repositoryDescription,researchServices,,,
repositoryDescription,reproductionServices,,,
repositoryDescription,publicAreas,,,
repositoryDescription,rulesAndConventions,,,
repositoryDescription,status,,,
repositoryDescription,datesOfDescription,,,
repositoryDescription,languages,,,
repositoryDescription,scripts,,,
repositoryDescription,sources,,,
repositoryDescription,maintenanceNotes,,,
repositoryDescription,address,,,
repositoryDescription,maintenanceEvent,,,
conceptDescription,otherFormsOfName,,,
conceptDescription,definition,,,
conceptDescription,scopeNote,,,
