node,property,handlerTempName,required?,multivalued?
Address,geogarea,,,
Address,country,,,
Address,countryCode,,,
Address,firstdem,,,
Address,secdem,,,
Address,municipality,,,
Address,street,,,
Address,postalCode,,,
Address,telephone,,,
Address,fax,,,
Address,email,,,
Address,webpage,,,
MaintenanceEvent,agent,,,
MaintenanceEvent,type,,,
MaintenanceEvent,agentType,,,
MaintenanceEvent,source,,,
MaintenanceEvent,date,,,
MaintenanceEvent,order,,,
Description,identifier,descriptionIdentifier,,
Description,languageCode,,1,
Description,name,,1,
Description,levelOfDetail,,,
Unit,identifier,objectIdentifier,1,
Unit,otherIdentifiers,,,
DatePeriod,type,,,
DatePeriod,startDate,,,
DatePeriod,endDate,,,
DocumentaryUnitDescription,parallelFormsOfName,,,
DocumentaryUnitDescription,ref,,,
DocumentaryUnitDescription,creationDate,,,1
DocumentaryUnitDescription,abstract,,,
DocumentaryUnitDescription,rulesAndConventions,,,
DocumentaryUnitDescription,accruals,,,
DocumentaryUnitDescription,acquisition,,,
DocumentaryUnitDescription,appraisal,,,
DocumentaryUnitDescription,archivalHistory,,,
DocumentaryUnitDescription,biographicalHistory,,,
DocumentaryUnitDescription,conditionsOfAccess,,,
DocumentaryUnitDescription,conditionsOfReproduction,,,
DocumentaryUnitDescription,extentAndMedium,,,
DocumentaryUnitDescription,locationOfCopies,,,1
DocumentaryUnitDescription,locationOfOriginals,,,1
DocumentaryUnitDescription,physicalLocation,,,1
DocumentaryUnitDescription,physicalCharacteristics,,,
DocumentaryUnitDescription,scopeAndContent,,,
DocumentaryUnitDescription,systemOfArrangement,,,
DocumentaryUnitDescription,creators,,,1
DocumentaryUnitDescription,subjects,,,1
DocumentaryUnitDescription,unitDates,,,1
DocumentaryUnitDescription,levelOfDescription,,,
DocumentaryUnitDescription,notes,,,1
DocumentaryUnitDescription,languageOfMaterial,,,1
DocumentaryUnitDescription,findingAids,,,
DocumentaryUnitDescription,publicationNote,,,
DocumentaryUnitDescription,datesOfDescription,,,
DocumentaryUnitDescription,archivistNote,,,
DocumentaryUnitDescription,processInfo,,,1
DocumentaryUnitDescription,sources,,,1
DocumentaryUnitDescription,sourceFileId,,1,
DocumentaryUnitDescription,relatedUnitsOfDescription,,,1
DocumentaryUnitDescription,maintenanceEvent,,,1
HistoricalAgentDescription,lastName,,,
HistoricalAgentDescription,firstName,,,
HistoricalAgentDescription,source,,,1
HistoricalAgentDescription,typeOfEntity,,,
HistoricalAgentDescription,otherFormsOfName,,,1
HistoricalAgentDescription,datesOfExistence,,,
HistoricalAgentDescription,biographicalHistory,,,
HistoricalAgentDescription,place,,,1
HistoricalAgentDescription,function,,,
HistoricalAgentDescription,mandate,,,
HistoricalAgentDescription,structure,,,
HistoricalAgentDescription,generalContext,,,
HistoricalAgentDescription,occupation,,,
HistoricalAgentDescription,maintenanceEvent,,,1
HistoricalAgentDescription,otherFormsOfFirstName,,,1
HistoricalAgentDescription,otherFormsOfLastName,,,1
RepositoryDescription,typeOfEntity,,,
RepositoryDescription,otherFormsOfName,,,1
RepositoryDescription,parallelFormsOfName,,,
RepositoryDescription,history,,,
RepositoryDescription,geoculturalContext,,,
RepositoryDescription,mandates,,,
RepositoryDescription,administrativeStructure,,,
RepositoryDescription,records,,,
RepositoryDescription,buildings,,,
RepositoryDescription,holdings,,,
RepositoryDescription,findingAids,,,
RepositoryDescription,openingTimes,,,
RepositoryDescription,conditions,,,
RepositoryDescription,accessibility,,,
RepositoryDescription,researchServices,,,
RepositoryDescription,reproductionServices,,,
RepositoryDescription,publicAreas,,,
RepositoryDescription,rulesAndConventions,,,
RepositoryDescription,status,,,
RepositoryDescription,datesOfDescription,,,
RepositoryDescription,languages,,,
RepositoryDescription,scripts,,,
RepositoryDescription,sources,,,
RepositoryDescription,maintenanceNotes,,,
RepositoryDescription,address,,,
RepositoryDescription,maintenanceEvent,,,
CvocConceptDescription,otherFormsOfName,,,
CvocConceptDescription,definition,,,
CvocConceptDescription,scopeNote,,,
